layer,unit,description,similarity,sim correlation
encoder.layers.encoder_layer_10,85,carisoprodol,0.24468994,0.00981251522898674
encoder.layers.encoder_layer_10,86,dashboard,0.07797241,0.03898068144917488
encoder.layers.encoder_layer_10,87,birding,0.26541138,0.2891366183757782
encoder.layers.encoder_layer_10,88,dotted,0.45510864,0.06685936450958252
encoder.layers.encoder_layer_10,89,flower,0.25369263,0.13557696342468262
encoder.layers.encoder_layer_10,90,alps,0.33694458,0.0883958637714386
encoder.layers.encoder_layer_10,91,keyboard,0.19891357,0.10108110308647156
encoder.layers.encoder_layer_10,92,juvenile,0.2939148,0.12004467099905014
encoder.layers.encoder_layer_10,93,daisy,0.25369263,0.18209907412528992
encoder.layers.encoder_layer_10,94,zebra,0.24481201,0.08312937617301941
encoder.layers.encoder_layer_10,95,mating,0.36721802,0.17621451616287231
encoder.layers.encoder_layer_10,96,fungi,0.28030396,0.14654067158699036
encoder.layers.encoder_layer_10,97,suspended,0.1098938,-0.027120215818285942
encoder.layers.encoder_layer_10,98,hostels,0.15066528,0.08227387815713882
encoder.layers.encoder_layer_10,99,blinds,0.25,0.10542473196983337
encoder.layers.encoder_layer_10,100,female,0.18408203,0.0339609794318676
encoder.layers.encoder_layer_10,101,melanoma,0.11831665,0.0037465004716068506
encoder.layers.encoder_layer_10,102,keyboard,0.32724,0.10183985531330109
encoder.layers.encoder_layer_10,103,specimen,0.37469482,0.12013503909111023
encoder.layers.encoder_layer_10,104,barcode,0.17449951,0.060899049043655396
encoder.layers.encoder_layer_10,105,textile,0.15737915,0.12567533552646637
encoder.layers.encoder_layer_10,106,dark,0.19845581,0.026701098307967186
encoder.layers.encoder_layer_10,107,juvenile,0.29867554,0.15098892152309418
encoder.layers.encoder_layer_10,108,wetland,0.34140015,0.14703786373138428
encoder.layers.encoder_layer_10,109,redhead,0.15435791,0.04111621156334877
encoder.layers.encoder_layer_10,110,sofas,0.09933472,0.058051735162734985
encoder.layers.encoder_layer_10,111,textile,0.14529419,0.06601616740226746
encoder.layers.encoder_layer_10,112,squash,0.16680908,0.10804641991853714
encoder.layers.encoder_layer_10,113,daisy,0.2987671,0.028813717886805534
encoder.layers.encoder_layer_10,114,grid,0.23007202,0.0562160424888134
encoder.layers.encoder_layer_10,115,trees,0.24057007,0.24589265882968903
encoder.layers.encoder_layer_10,116,checker,0.24829102,0.0408901572227478
encoder.layers.encoder_layer_10,117,fields,0.31652832,0.08344916254281998
encoder.layers.encoder_layer_10,118,flamingo,0.11502075,0.06844302266836166
encoder.layers.encoder_layer_10,119,textile,0.22744751,0.11047112941741943
encoder.layers.encoder_layer_10,120,condemned,0.11352539,0.01783980056643486
encoder.layers.encoder_layer_10,121,textile,0.19467163,0.08381813764572144
encoder.layers.encoder_layer_10,122,carisoprodol,0.1574707,0.023440949618816376
encoder.layers.encoder_layer_10,123,cradle,0.14871216,0.1061323955655098
encoder.layers.encoder_layer_10,124,fungi,0.41622925,0.18845337629318237
encoder.layers.encoder_layer_10,125,brochure,0.3164673,0.13938008248806
encoder.layers.encoder_layer_10,126,interiors,0.3861084,0.2392537146806717
encoder.layers.encoder_layer_10,127,carisoprodol,0.1882019,0.031089266762137413
encoder.layers.encoder_layer_10,128,adult,0.3647766,-0.023133980110287666
encoder.layers.encoder_layer_10,129,furnished,0.15786743,0.048783861100673676
encoder.layers.encoder_layer_10,130,embryo,0.2164917,0.03363388776779175
encoder.layers.encoder_layer_10,131,buildings,0.34951782,0.11728450655937195
encoder.layers.encoder_layer_10,132,turtle,0.3580017,0.119252048432827
encoder.layers.encoder_layer_10,133,capacitor,0.12173462,0.05537119135260582
encoder.layers.encoder_layer_10,134,butterfly,0.17163086,0.1726042628288269
encoder.layers.encoder_layer_10,135,mating,0.35183716,0.10018625855445862
encoder.layers.encoder_layer_10,136,ibis,0.12335205,0.04929021745920181
encoder.layers.encoder_layer_10,137,ascii,0.12384033,-0.0319683700799942
encoder.layers.encoder_layer_10,138,trains,0.085754395,0.07516245543956757
encoder.layers.encoder_layer_10,139,curtain,0.1776123,0.11477690190076828
encoder.layers.encoder_layer_10,140,daisy,0.1184082,-0.010527053847908974
encoder.layers.encoder_layer_10,141,developmental,0.121673584,0.014703345485031605
encoder.layers.encoder_layer_10,142,homepage,0.30630493,0.08934743702411652
encoder.layers.encoder_layer_10,143,monument,0.17321777,0.1332009732723236
encoder.layers.encoder_layer_10,144,corridors,0.102386475,0.046344757080078125
encoder.layers.encoder_layer_10,145,leaf,0.23608398,0.014693820849061012
encoder.layers.encoder_layer_10,146,keyboard,0.31808472,0.1237744465470314
encoder.layers.encoder_layer_10,147,checker,0.2197876,0.05224527046084404
encoder.layers.encoder_layer_10,148,crossword,0.2010498,0.05588579177856445
encoder.layers.encoder_layer_10,149,aa,0.1867981,-0.031943369656801224
encoder.layers.encoder_layer_10,150,female,0.41430664,0.050727855414152145
encoder.layers.encoder_layer_10,151,entrance,0.14501953,0.09221668541431427
encoder.layers.encoder_layer_10,152,zebra,0.3414917,0.02160757966339588
encoder.layers.encoder_layer_10,153,crossword,0.42144775,0.10041241347789764
encoder.layers.encoder_layer_10,154,lines,0.13461304,0.05520366132259369
encoder.layers.encoder_layer_10,155,specimen,0.35787964,0.08018152415752411
encoder.layers.encoder_layer_10,156,logo,0.16778564,0.09219495952129364
encoder.layers.encoder_layer_10,157,tomcat,0.13793945,0.07677100598812103
encoder.layers.encoder_layer_10,158,specimen,0.2541809,0.07451844960451126
encoder.layers.encoder_layer_10,159,keyboard,0.49398804,0.17678512632846832
encoder.layers.encoder_layer_10,160,snowboarding,0.20715332,0.09724827110767365
encoder.layers.encoder_layer_10,161,snorkeling,0.12869263,0.09665428847074509
encoder.layers.encoder_layer_10,162,web,0.19891357,0.06767601519823074
encoder.layers.encoder_layer_10,163,flower,0.35531616,0.1719169169664383
encoder.layers.encoder_layer_10,164,zebra,0.21179199,0.12728357315063477
encoder.layers.encoder_layer_10,165,daisy,0.36895752,0.1639270782470703
encoder.layers.encoder_layer_10,166,juvenile,0.3196106,0.15554992854595184
encoder.layers.encoder_layer_10,167,mating,0.26809692,0.17968760430812836
encoder.layers.encoder_layer_10,168,red,0.16101074,0.07986261695623398
encoder.layers.encoder_layer_10,169,vampires,0.19488525,0.002560958731919527
encoder.layers.encoder_layer_10,170,dotted,0.35473633,0.030947191640734673
encoder.layers.encoder_layer_10,171,crossword,0.39505005,0.10787166655063629
encoder.layers.encoder_layer_10,172,seating,0.17630005,0.16919799149036407
encoder.layers.encoder_layer_10,173,zebra,0.15435791,0.05004297196865082
encoder.layers.encoder_layer_10,174,fox,0.15106201,0.06425391882658005
encoder.layers.encoder_layer_10,175,female,0.25149536,0.04019036516547203
encoder.layers.encoder_layer_10,176,arch,0.23147583,0.09774503111839294
encoder.layers.encoder_layer_10,177,broccoli,0.17974854,0.09117735177278519
encoder.layers.encoder_layer_10,178,rural,0.19189453,0.16471640765666962
encoder.layers.encoder_layer_10,179,plaque,0.25286865,0.16339778900146484
encoder.layers.encoder_layer_10,180,airlines,0.17199707,0.07133793830871582
encoder.layers.encoder_layer_10,181,juvenile,0.34259033,0.20784282684326172
encoder.layers.encoder_layer_10,182,tent,0.22253418,0.08727987855672836
encoder.layers.encoder_layer_10,183,crochet,0.2312622,0.07206885516643524
encoder.layers.encoder_layer_10,184,plaque,0.14379883,0.0782918632030487
encoder.layers.encoder_layer_10,185,highways,0.13635254,0.04917972907423973
encoder.layers.encoder_layer_10,186,zebra,0.3095703,0.01660088635981083
encoder.layers.encoder_layer_10,187,fields,0.19824219,0.10890411585569382
encoder.layers.encoder_layer_10,188,fetus,0.1288147,0.06600700318813324
encoder.layers.encoder_layer_10,189,avenue,0.36550903,0.0496695376932621
encoder.layers.encoder_layer_10,190,adult,0.32229614,-0.01972137577831745
encoder.layers.encoder_layer_10,191,webs,0.5350952,0.09943316131830215
encoder.layers.encoder_layer_10,192,regard,0.23016357,0.04134861379861832
encoder.layers.encoder_layer_10,193,textile,0.24481201,0.1265985071659088
encoder.layers.encoder_layer_10,194,female,0.23416138,0.07725806534290314
encoder.layers.encoder_layer_10,195,daisy,0.2678833,-0.04758671671152115
encoder.layers.encoder_layer_10,196,skiing,0.24227905,0.11333396285772324
encoder.layers.encoder_layer_10,197,elephant,0.18032837,0.07939950376749039
encoder.layers.encoder_layer_10,198,avenue,0.12136841,0.04624716192483902
encoder.layers.encoder_layer_10,199,web,0.18661499,-0.003075903281569481
encoder.layers.encoder_layer_10,200,bee,0.14901733,0.025263842195272446
encoder.layers.encoder_layer_10,201,aaa,0.11291504,0.023344704881310463
encoder.layers.encoder_layer_10,202,zebra,0.23919678,0.09778427332639694
encoder.layers.encoder_layer_10,203,web,0.33932495,0.10556180775165558
encoder.layers.encoder_layer_10,204,specimen,0.19265747,0.0739181712269783
encoder.layers.encoder_layer_10,205,ordinator,0.19619751,0.03702192008495331
encoder.layers.encoder_layer_10,206,ceilings,0.13345337,0.1168266087770462
encoder.layers.encoder_layer_10,207,cornerstone,0.11578369,0.10085535049438477
encoder.layers.encoder_layer_10,208,juvenile,0.14315796,0.05392606928944588
encoder.layers.encoder_layer_10,209,crossword,0.48712158,0.13789154589176178
encoder.layers.encoder_layer_10,210,webs,0.20993042,-0.00782602746039629
encoder.layers.encoder_layer_10,211,diva,0.12390137,0.03322438895702362
encoder.layers.encoder_layer_10,212,maize,0.21737671,0.08917605876922607
encoder.layers.encoder_layer_10,213,zebra,0.51016235,0.12714023888111115
encoder.layers.encoder_layer_10,214,crossword,0.47769165,0.10776281356811523
encoder.layers.encoder_layer_10,215,web,0.65179443,0.04072364792227745
encoder.layers.encoder_layer_10,216,forest,0.14575195,0.003577248193323612
encoder.layers.encoder_layer_10,217,terrier,0.15539551,0.1966136246919632
encoder.layers.encoder_layer_10,218,sediments,0.20333862,0.08022524416446686
encoder.layers.encoder_layer_10,219,drosophila,0.22241211,0.03720102831721306
encoder.layers.encoder_layer_10,220,zebra,0.16296387,0.01482182927429676
encoder.layers.encoder_layer_10,221,dotted,0.1678772,0.041222959756851196
encoder.layers.encoder_layer_10,222,powerbook,0.2670288,0.12724170088768005
encoder.layers.encoder_layer_10,223,juvenile,0.1484375,0.15067744255065918
encoder.layers.encoder_layer_10,224,mating,0.3218689,0.29648131132125854
encoder.layers.encoder_layer_10,225,mating,0.28918457,0.18986384570598602
encoder.layers.encoder_layer_10,226,segments,0.22872925,-0.030827805399894714
encoder.layers.encoder_layer_10,227,bedrooms,0.29452515,0.1201242133975029
encoder.layers.encoder_layer_10,228,blinds,0.18188477,0.09683361649513245
encoder.layers.encoder_layer_10,229,sliding,0.12637329,0.09051878750324249
encoder.layers.encoder_layer_10,230,keyboard,0.25109863,0.1153486892580986
encoder.layers.encoder_layer_10,231,thistle,0.15994263,0.08343008160591125
encoder.layers.encoder_layer_10,232,zebra,0.3508911,0.05009985715150833
encoder.layers.encoder_layer_10,233,maize,0.22824097,0.10068601369857788
encoder.layers.encoder_layer_10,234,cellar,0.15075684,0.06454277038574219
encoder.layers.encoder_layer_10,235,flower,0.10925293,0.1303701400756836
encoder.layers.encoder_layer_10,236,street,0.30285645,0.07337116450071335
encoder.layers.encoder_layer_10,237,fruit,0.15130615,-0.06067417189478874
encoder.layers.encoder_layer_10,238,fields,0.2940979,0.0780395120382309
encoder.layers.encoder_layer_10,239,broccoli,0.45220947,0.165575310587883
encoder.layers.encoder_layer_10,240,carisoprodol,0.32037354,0.001121542532928288
encoder.layers.encoder_layer_10,241,specimen,0.21542358,0.031109072268009186
encoder.layers.encoder_layer_10,242,juvenile,0.2854004,0.044233907014131546
encoder.layers.encoder_layer_10,243,thistle,0.26971436,0.12236642092466354
encoder.layers.encoder_layer_10,244,tomcat,0.15762329,0.09893500059843063
encoder.layers.encoder_layer_10,245,plaster,0.13708496,0.10384518653154373
encoder.layers.encoder_layer_10,246,juvenile,0.3175354,0.17292915284633636
encoder.layers.encoder_layer_10,247,aaa,0.10083008,-0.06700671464204788
encoder.layers.encoder_layer_10,248,mating,0.27316284,0.30160781741142273
encoder.layers.encoder_layer_10,249,female,0.2904663,0.06748507916927338
encoder.layers.encoder_layer_10,250,zebra,0.49163818,0.12042182683944702
encoder.layers.encoder_layer_10,251,textile,0.1703186,0.18515977263450623
encoder.layers.encoder_layer_10,252,sewer,0.32974243,0.15804678201675415
encoder.layers.encoder_layer_10,253,furnished,0.24481201,0.13881917297840118
encoder.layers.encoder_layer_10,254,sailing,0.2449646,0.16671480238437653
encoder.layers.encoder_layer_10,255,jelly,0.12841797,0.07993444055318832
encoder.layers.encoder_layer_10,256,palau,0.24584961,0.08467976748943329
encoder.layers.encoder_layer_10,257,textile,0.26931763,0.17529651522636414
encoder.layers.encoder_layer_10,258,juvenile,0.13851929,-0.051128633320331573
encoder.layers.encoder_layer_10,259,fields,0.16564941,0.07756128162145615
encoder.layers.encoder_layer_10,260,specimen,0.29467773,0.09901103377342224
encoder.layers.encoder_layer_10,261,fungi,0.62228394,0.22524288296699524
encoder.layers.encoder_layer_10,262,leaf,0.19992065,0.0176986176520586
encoder.layers.encoder_layer_10,263,juvenile,0.31201172,0.0421874076128006
encoder.layers.encoder_layer_10,264,daisy,0.26660156,-0.05752566084265709
encoder.layers.encoder_layer_10,265,juvenile,0.35394287,0.17823123931884766
encoder.layers.encoder_layer_10,266,fishing,0.1602478,-0.014181273989379406
encoder.layers.encoder_layer_10,267,snowboarding,0.3595276,0.10527855157852173
encoder.layers.encoder_layer_10,268,sewer,0.107299805,0.052814651280641556
encoder.layers.encoder_layer_10,269,fungi,0.40289307,0.22181914746761322
encoder.layers.encoder_layer_10,270,woods,0.15011597,0.05833037570118904
encoder.layers.encoder_layer_10,271,crossword,0.22369385,0.0561935156583786
encoder.layers.encoder_layer_10,272,airfares,0.118896484,0.06865823268890381
encoder.layers.encoder_layer_10,273,wicker,0.19332886,-0.03447442874312401
encoder.layers.encoder_layer_10,274,snowboarding,0.18017578,0.09313128888607025
encoder.layers.encoder_layer_10,275,wicker,0.4025879,0.09844180196523666
encoder.layers.encoder_layer_10,276,georgetown,0.13778687,0.000315878918627277
encoder.layers.encoder_layer_10,277,rainforest,0.28341675,0.04624873399734497
encoder.layers.encoder_layer_10,278,mileage,0.1611023,0.11844567954540253
encoder.layers.encoder_layer_10,279,fields,0.26098633,0.14153988659381866
encoder.layers.encoder_layer_10,280,crossword,0.36505127,0.09943781048059464
encoder.layers.encoder_layer_10,281,bedrooms,0.22909546,0.10462655127048492
encoder.layers.encoder_layer_10,282,carisoprodol,0.12445068,0.014056575484573841
encoder.layers.encoder_layer_10,283,tobago,0.1333313,0.03956419602036476
encoder.layers.encoder_layer_10,284,taxis,0.09500122,0.09762247651815414
