layer,unit,description,similarity,sim correlation
encoder.layers.encoder_layer_22,86,rug,0.13104248,0.07666909694671631
encoder.layers.encoder_layer_22,87,maze,0.16378784,0.09559202194213867
encoder.layers.encoder_layer_22,88,female,0.16842651,-0.007512761279940605
encoder.layers.encoder_layer_22,89,underwater,0.14538574,-0.005113148596137762
encoder.layers.encoder_layer_22,90,terrier,0.33602905,0.19805961847305298
encoder.layers.encoder_layer_22,91,emule,0.15393066,0.0064397226087749004
encoder.layers.encoder_layer_22,92,airborne,0.19699097,0.12333289533853531
encoder.layers.encoder_layer_22,93,social,0.15020752,0.03857345134019852
encoder.layers.encoder_layer_22,94,lattice,0.175354,0.12145474553108215
encoder.layers.encoder_layer_22,95,soaring,0.17001343,0.14766071736812592
encoder.layers.encoder_layer_22,96,juvenile,0.124176025,-0.03592408820986748
encoder.layers.encoder_layer_22,97,dotted,0.12722778,0.021980619058012962
encoder.layers.encoder_layer_22,98,penguins,0.2776184,0.11671832948923111
encoder.layers.encoder_layer_22,99,swan,0.29153442,0.1253976672887802
encoder.layers.encoder_layer_22,100,juvenile,0.27200317,0.07236450165510178
encoder.layers.encoder_layer_22,101,laserjet,0.22332764,0.08887466043233871
encoder.layers.encoder_layer_22,102,antenna,0.13903809,0.050440605729818344
encoder.layers.encoder_layer_22,103,coastline,0.16360474,0.07560081034898758
encoder.layers.encoder_layer_22,104,lighthouse,0.19189453,0.07383281737565994
encoder.layers.encoder_layer_22,105,temple,0.1439209,0.0481904037296772
encoder.layers.encoder_layer_22,106,mating,0.38754272,0.11101581156253815
encoder.layers.encoder_layer_22,107,baskets,0.13290405,0.05496036633849144
encoder.layers.encoder_layer_22,108,pattern,0.2284851,-0.019787495955824852
encoder.layers.encoder_layer_22,109,barrels,0.23092651,0.06828422844409943
encoder.layers.encoder_layer_22,110,reptiles,0.17425537,0.10971029847860336
encoder.layers.encoder_layer_22,111,kitchens,0.21862793,0.07278195768594742
encoder.layers.encoder_layer_22,112,escherichia,0.06878662,0.0010162636172026396
encoder.layers.encoder_layer_22,113,broccoli,0.19189453,0.10572198778390884
encoder.layers.encoder_layer_22,114,zebra,0.29022217,0.07698484510183334
encoder.layers.encoder_layer_22,115,collier,0.1418457,0.07202531397342682
encoder.layers.encoder_layer_22,116,fossil,0.34991455,0.15665750205516815
encoder.layers.encoder_layer_22,117,furnished,0.15768433,0.08821208775043488
encoder.layers.encoder_layer_22,118,penguins,0.197052,0.09282766282558441
encoder.layers.encoder_layer_22,119,writing,0.121520996,0.04815785586833954
encoder.layers.encoder_layer_22,120,guinea,0.46826172,0.07523095607757568
encoder.layers.encoder_layer_22,121,purse,0.23522949,0.12758734822273254
encoder.layers.encoder_layer_22,122,monkey,0.18682861,0.12242746353149414
encoder.layers.encoder_layer_22,123,clarinet,0.09585571,0.041104551404714584
encoder.layers.encoder_layer_22,124,rug,0.2546692,0.04386380314826965
encoder.layers.encoder_layer_22,125,bathing,0.16519165,0.039786163717508316
encoder.layers.encoder_layer_22,126,maze,0.1126709,0.10513921082019806
encoder.layers.encoder_layer_22,127,grille,0.22225952,0.10830070823431015
encoder.layers.encoder_layer_22,128,hockey,0.16860962,0.11320265382528305
encoder.layers.encoder_layer_22,129,monkeys,0.15408325,0.08955027908086777
encoder.layers.encoder_layer_22,130,fossil,0.26004028,0.1192823275923729
encoder.layers.encoder_layer_22,131,turtle,0.24801636,0.11303111910820007
encoder.layers.encoder_layer_22,132,carriage,0.19174194,0.09390676766633987
encoder.layers.encoder_layer_22,133,zebra,0.10458374,0.040655504912137985
encoder.layers.encoder_layer_22,134,snorkeling,0.20733643,0.1483467072248459
encoder.layers.encoder_layer_22,135,habit,0.22451782,-0.04327075183391571
encoder.layers.encoder_layer_22,136,pattern,0.14157104,0.0562264546751976
encoder.layers.encoder_layer_22,137,volleyball,0.15084839,0.09118470549583435
encoder.layers.encoder_layer_22,138,male,0.3458252,0.052286501973867416
encoder.layers.encoder_layer_22,139,bloodhound,0.19393921,0.05329067260026932
encoder.layers.encoder_layer_22,140,basename,0.23214722,0.04418198764324188
encoder.layers.encoder_layer_22,141,badger,0.35403442,0.11786508560180664
encoder.layers.encoder_layer_22,142,ironing,0.17999268,0.08919607102870941
encoder.layers.encoder_layer_22,143,pineapple,0.4074402,0.15366414189338684
encoder.layers.encoder_layer_22,144,terrier,0.29293823,0.20390141010284424
encoder.layers.encoder_layer_22,145,bear,0.33151245,0.06397687643766403
encoder.layers.encoder_layer_22,146,mating,0.17492676,0.1429513692855835
encoder.layers.encoder_layer_22,147,swan,0.26239014,0.15078017115592957
encoder.layers.encoder_layer_22,148,clarinet,0.12307739,0.05349581316113472
encoder.layers.encoder_layer_22,149,basename,0.20321655,-0.01032981462776661
encoder.layers.encoder_layer_22,150,column,0.18536377,0.059410158544778824
encoder.layers.encoder_layer_22,151,injections,0.17166138,0.07579685002565384
encoder.layers.encoder_layer_22,152,lattice,0.21844482,0.07138611376285553
encoder.layers.encoder_layer_22,153,dragonfly,0.72824097,0.16951318085193634
encoder.layers.encoder_layer_22,154,fungi,0.37991333,0.08473627269268036
encoder.layers.encoder_layer_22,155,rope,0.18655396,0.06796256452798843
encoder.layers.encoder_layer_22,156,handset,0.2124939,0.11374570429325104
encoder.layers.encoder_layer_22,157,cheyenne,0.17196655,0.10043209791183472
encoder.layers.encoder_layer_22,158,zebra,0.27734375,0.07843183726072311
encoder.layers.encoder_layer_22,159,finch,0.24090576,0.0894843265414238
encoder.layers.encoder_layer_22,160,wildlife,0.16519165,0.061503972858190536
encoder.layers.encoder_layer_22,161,turtle,0.14932251,0.10150885581970215
encoder.layers.encoder_layer_22,162,peacock,0.1663208,0.07043332606554031
