layer,unit,description,similarity,sim correlation
classifier[4],104,bears,0.12387085,0.2519976496696472
classifier[4],105,squirrel,0.16915894,0.06963137537240982
classifier[4],106,beetle,0.26220703,0.247333824634552
classifier[4],107,monkey,0.1194458,0.2940807640552521
classifier[4],108,chair,0.1972351,0.19107873737812042
classifier[4],109,towers,0.22793579,0.41170376539230347
classifier[4],110,tulip,0.3097229,0.2855363190174103
classifier[4],111,mushrooms,0.2640381,0.22575920820236206
classifier[4],112,keyboard,0.2204895,0.3011685907840729
classifier[4],113,tree,0.14828491,0.0862322598695755
classifier[4],114,dolphins,0.31802368,0.09208367764949799
classifier[4],115,trains,0.344635,0.3184598386287689
classifier[4],116,spider,0.20419312,0.2143959403038025
classifier[4],117,beetle,0.16104126,0.1824006736278534
classifier[4],118,castles,0.24157715,0.22389356791973114
classifier[4],119,goblet,0.22772217,0.1894611418247223
classifier[4],120,lynx,0.1795044,0.395427405834198
classifier[4],121,sunflower,0.29177856,0.29946815967559814
classifier[4],122,motorcycle,0.4345703,0.27744367718696594
classifier[4],123,goblet,0.32873535,0.20500750839710236
classifier[4],124,sofas,0.23712158,0.2251841127872467
classifier[4],125,tree,0.2677307,0.4554784893989563
classifier[4],126,mountains,0.22210693,0.33158835768699646
classifier[4],127,keyboard,0.13848877,0.2791595458984375
classifier[4],128,flatbed,0.15203857,0.2208835482597351
classifier[4],129,highway,0.3456726,0.2520359456539154
classifier[4],130,oceans,0.19372559,0.3587438762187958
classifier[4],131,poppy,0.15362549,0.21403862535953522
classifier[4],132,bed,0.22137451,0.22593344748020172
classifier[4],133,worms,0.224823,0.24069146811962128
classifier[4],134,clock,0.1946106,0.1989593505859375
classifier[4],135,dresser,0.25283813,0.2618098556995392
classifier[4],136,bee,0.17010498,0.16262421011924744
classifier[4],137,chair,0.22824097,0.14380766451358795
classifier[4],138,rocket,0.15429688,0.2030186951160431
classifier[4],139,sunflower,0.1689148,0.23483172059059143
classifier[4],140,tractors,0.21124268,0.18926700949668884
classifier[4],141,camel,0.27578735,0.2158641666173935
classifier[4],142,bike,0.21765137,0.13810855150222778
classifier[4],143,beetle,0.20718384,0.36152395606040955
classifier[4],144,bottle,0.28970337,0.27319249510765076
classifier[4],145,sherman,0.11791992,0.056182362139225006
classifier[4],146,castles,0.29559326,0.24208389222621918
classifier[4],147,apples,0.17056274,0.2980417013168335
classifier[4],148,dinnerware,0.2362976,0.22228848934173584
classifier[4],149,tree,0.19961548,0.3827630281448364
classifier[4],150,motorcycle,0.2925415,0.2658489942550659
