unit,description,sim correlation,sim ablation(norm),sim ablation(optim)
0,ivtools,0.1728795766830444,0.0159611701965332,0.008135437965393066
1,signage,0.198589876294136,0.0159262418746948,0.0050598978996276855
2,pharmacist,0.2211019098758697,0.0255166888236999,0.0073778629302978516
3,firearms,0.1510898023843765,0.0083457231521606,0.017235755920410156
4,boxes,0.1316305249929428,0.0180925130844116,0.00695878267288208
5,missiles,0.1624787598848343,0.0202821493148803,0.020533621311187744
6,looksmart,-0.0259399339556694,0.0011132359504699,0.0056449174880981445
7,weights,0.1598957777023315,-0.0031691789627075,0.015678226947784424
8,elephant,0.3453553020954132,0.0047166943550109,0.04585981369018555
9,greenhouse,0.1787975281476974,0.0581415891647338,0.04000788927078247
10,crypt,0.1148497611284256,0.0089557170867919,0.006727159023284912
11,bookshelf,0.289924293756485,0.019217312335968,0.05126643180847168
12,vegetables,0.279404729604721,0.0532491207122802,0.05124974250793457
13,basename,0.0227639209479093,0.0018575191497802,0.02436697483062744
14,officers,0.1885603368282318,0.0111539959907531,0.026101410388946533
15,bowl,0.3353630602359772,0.0623150467872619,0.02316892147064209
16,rides,0.2548477053642273,0.01871258020401,0.022396087646484375
17,fossil,0.2504754960536957,0.0095956325531005,0.012127399444580078
18,maize,0.153135597705841,0.0239709019660949,0.041051268577575684
19,reptiles,0.1699491739273071,0.0085376501083374,0.018120169639587402
20,bathroom,0.1061969399452209,0.0090548992156982,0.011520028114318848
21,glassware,0.3871266543865204,0.0736629962921142,0.024564921855926514
22,observatory,0.1324827671051025,0.0063260793685913,0.017132461071014404
23,yellowstone,0.1550077646970749,0.0075257420539855,0.014377713203430176
24,jeans,0.3927211165428161,0.1158552169799804,0.04658454656600952
25,chair,0.2615655362606048,0.0676636099815368,0.032464444637298584
26,male,0.0703236162662506,0.0021954178810119,0.014066755771636963
27,arabidopsis,0.0160641800612211,-0.0019404888153076,0.002878844738006592
28,cages,0.2439347356557846,0.0326281189918518,0.019273996353149414
29,bearing,0.1016261354088783,-0.0061151981353759,0.014275312423706055
30,crochet,0.1487277895212173,0.0148742198944091,0.01534193754196167
31,manufacturer,0.0877066254615783,0.0032007098197937,0.004226505756378174
32,urn,0.1946029961109161,0.0093020796775817,0.018755793571472168
33,plaque,0.2171125262975692,-0.0072995424270629,0.036330461502075195
34,canoeing,0.138798326253891,0.0067566633224487,0.019223511219024658
35,gong,0.2264536619186401,0.0173595547676086,0.02861618995666504
36,kitchens,0.1377838999032974,0.0166742205619812,0.008640646934509277
37,robe,0.189465120434761,0.0273273587226867,0.016390442848205566
38,pantyhose,0.0358533337712287,-0.0113258361816406,-0.009600996971130371
39,cat,0.4615256488323211,0.1094781160354614,0.07265561819076538
40,tableware,0.1467481404542923,0.0201927423477172,0.026852130889892578
41,sediments,0.1084848046302795,0.0110449790954589,0.012565672397613525
42,habitat,0.2335049360990524,0.02736097574234,0.023804545402526855
43,archaeology,0.1841895431280136,0.0137447714805603,0.03449225425720215
44,footwear,0.3315666913986206,0.0809738039970398,0.0330657958984375
45,comforter,0.3640253245830536,0.0542541146278381,0.012334704399108887
46,dog,-0.0656773149967193,0.0013549923896789,0.006081521511077881
47,closet,0.1393020749092102,0.0132108330726623,0.007646501064300537
48,wicker,0.1394715309143066,0.0029713511466979,0.010374069213867188
49,atm,0.2107906192541122,0.0102612972259521,0.0030373334884643555
50,python,0.1407901346683502,0.0141053199768066,0.020367205142974854
51,chair,0.0996746569871902,0.0094388723373413,0.03321218490600586
52,mixer,0.0112301036715507,0.0017415285110473,0.028934121131896973
53,clocks,0.2648653090000152,0.0136681795120239,0.020432591438293457
54,billiards,0.1433581113815307,-0.0014605522155761,0.0229758620262146
55,apron,0.0385684855282306,-0.0032893419265747,0.008654534816741943
56,camel,0.1960769295692443,-0.0090241432189941,0.009930968284606934
57,recorder,0.1575219631195068,0.0141326189041137,0.018113374710083008
58,pitching,0.279035359621048,0.026059091091156,0.027157366275787354
59,embryo,0.1383369266986847,0.0065264105796813,0.012067675590515137
60,lattice,0.1124407798051834,0.0029435157775878,0.007426321506500244
61,bakery,0.1359011679887771,0.0279288291931152,0.026279330253601074
62,madagascar,0.0991737619042396,-0.0166703462600708,0.00035136938095092773
63,espresso,0.235052615404129,0.007325530052185,0.018293023109436035
64,meters,0.0905696675181388,0.0002049803733825,0.0021544694900512695
65,wildlife,0.4209136366844177,0.1088161468505859,0.06723225116729736
66,bookshop,0.1505479514598846,0.0126029253005981,0.01598411798477173
67,shelving,0.198798581957817,0.0084843635559082,0.02402186393737793
68,percussion,0.1531593203544616,0.0190887451171875,0.02095896005630493
69,lobster,0.1784774661064148,0.0318307876586914,0.03367096185684204
70,spiral,0.099948726594448,0.0062055587768554,0.018158376216888428
71,laserjet,0.1418000757694244,0.0065835714340209,0.00437009334564209
72,cartridges,0.113872118294239,0.0080200433731079,0.006829321384429932
73,lime,0.2149000763893127,0.0352792143821716,0.019184529781341553
74,thermometer,0.1733067631721496,0.008338451385498,0.010816633701324463
75,squash,0.2021825611591339,0.0048059821128845,0.02893221378326416
76,web,-0.0298212859779596,0.0009006261825561,0.009724617004394531
77,social,0.0734701454639434,0.0035662651062011,0.0084608793258667
78,weights,0.1653856039047241,-0.0188860893249511,0.01151198148727417
79,gourmet,0.2486582547426223,0.0295987129211425,0.015308201313018799
80,stocking,0.1298426836729049,-0.0027050971984863,0.0004711151123046875
81,socks,0.1566616743803024,0.022097110748291,0.025882840156555176
82,wetland,0.321317195892334,0.0112753510475158,0.0328252911567688
83,bloodhound,0.1325345933437347,-0.0043151378631591,0.01734858751296997
84,irons,0.1599472910165786,0.0044734477996826,0.003305971622467041
85,bedrooms,0.2669359743595123,0.0250990390777587,0.010882258415222168
86,whales,0.3038043081760406,0.029559314250946,0.030467629432678223
87,bison,0.2133267968893051,0.0163168311119079,0.03660130500793457
88,birding,0.2855910062789917,0.021245539188385,0.03595763444900513
89,flamingo,0.1406226903200149,0.0028018951416015,0.014794588088989258
90,cassettes,0.2061024457216262,0.0193099975585937,0.014420926570892334
91,dog,0.0782606527209281,0.0027574300765991,0.013657152652740479
92,monkey,0.004093742929399,0.0001267790794372,0.005967915058135986
93,mop,0.1900721341371536,0.0233902335166931,0.04217451810836792
94,youngest,0.3552993834018707,0.0741588473320007,0.03707528114318848
