unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou,top1-label,top1-category,top1-iou,top2-label,top2-category,top2-iou,top3-label,top3-category,top3-iou,top4-label,top4-category,top4-iou,top5-label,top5-category,top5-iou
1,texture,perforated,0.092179988,red-c,21004512,2022300,70279,0.003061394,curtain,3110939,667181,30229,0.008065603,door frame,221497,38293,1862,0.007219069,painted,13470129,215431,70732,0.005195218,skyscraper-s,4402944,443185,19570,0.004054648,perforated,1793792,566682,199224,0.092179988,"{'number': 334, 'name': 'perforated', 'category': {'texture': 143}, 'frequency': 143, 'coverage': 143.0, 'syns': ['']}",texture,0.092179988,"{'number': 342, 'name': 'polka-dotted', 'category': {'texture': 136}, 'frequency': 136, 'coverage': 136.0, 'syns': ['']}",texture,0.031826983539645824,"{'number': 378, 'name': 'honeycombed', 'category': {'texture': 124}, 'frequency': 124, 'coverage': 124.0, 'syns': ['']}",texture,0.027828014192984682,"{'number': 276, 'name': 'dotted', 'category': {'texture': 234}, 'frequency': 234, 'coverage': 234.0, 'syns': ['']}",texture,0.027499727132852852,"{'number': 343, 'name': 'grid', 'category': {'texture': 134, 'object': 2}, 'frequency': 136, 'coverage': 134.108822, 'syns': ['']}",texture,0.025114115704709488
2,texture,dotted,0.08880473,pink-c,18491188,2343607,95591,0.004609193,washer,211900,814463,24874,0.024837017680673475,wheel,1513439,405498,113906,0.063104733,ceramic,679072,283382,14568,0.015368936770877509,laundromat-s,363776,315186,14246,0.021431709,dotted,2935296,674819,294447,0.08880473,"{'number': 276, 'name': 'dotted', 'category': {'texture': 234}, 'frequency': 234, 'coverage': 234.0, 'syns': ['']}",texture,0.08880473,"{'number': 342, 'name': 'polka-dotted', 'category': {'texture': 136}, 'frequency': 136, 'coverage': 136.0, 'syns': ['']}",texture,0.073156472,"{'number': 44, 'name': 'wheel', 'category': {'part': 3681, 'object': 69}, 'frequency': 3750, 'coverage': 122.407301, 'syns': ['']}",part,0.063104733,"{'number': 29, 'name': 'eye', 'category': {'part': 5971}, 'frequency': 5971, 'coverage': 8.929686, 'syns': ['']}",part,0.053912475,"{'number': 360, 'name': 'swirly', 'category': {'texture': 128}, 'frequency': 128, 'coverage': 128.0, 'syns': ['']}",texture,0.031887619
3,object,building,0.031022451,pink-c,18491188,2095096,175887,0.00861752,building,35246027,1720685,1112292,0.031022451,roof,443437,345207,12788,0.01648244,skin,177664,81614,1137,0.00440457,street-s,28111104,1154034,528752,0.018400086914199996,zigzagged,1618176,62133,5365,0.003203092,"{'number': 18, 'name': 'building', 'category': {'object': 9722}, 'frequency': 9722, 'coverage': 2845.748895, 'syns': ['edifice']}",object,0.031022451,"{'number': 131, 'name': 'house', 'category': {'object': 736}, 'frequency': 736, 'coverage': 148.045081, 'syns': ['']}",object,0.020765651356837236,"{'number': 59, 'name': 'street-s', 'category': {'scene': 2241}, 'frequency': 2241, 'coverage': 2241.0, 'syns': ['']}",scene,0.018400086914199996,"{'number': 120, 'name': 'roof', 'category': {'part': 815, 'object': 34}, 'frequency': 849, 'coverage': 35.898958, 'syns': ['']}",part,0.01648244,"{'number': 15, 'name': 'windowpane', 'category': {'object': 5904, 'part': 5610}, 'frequency': 11514, 'coverage': 714.292365, 'syns': ['window']}",object,0.011430116188609127
4,part,skirt,0.007924875,grey-c,159331282,1668859,829758,0.005180471,house,1833277,735092,12305,0.004814042,skirt,71084,131776,1595,0.007924875,painted,13470129,330676,52453,0.003815221,kitchen-s,9006592,459581,41747,0.00442966,waffled,1555456,43770,3376,0.002115487,"{'number': 220, 'name': 'skirt', 'category': {'part': 332, 'object': 23}, 'frequency': 355, 'coverage': 5.76495, 'syns': ['']}",part,0.007924875,"{'number': 2, 'name': 'grey-c', 'category': {'color': 62310}, 'frequency': 62310, 'coverage': 12712.843129, 'syns': ['']}",color,0.005180471,"{'number': 131, 'name': 'house', 'category': {'object': 736}, 'frequency': 736, 'coverage': 148.045081, 'syns': ['']}",object,0.004814042,"{'number': 134, 'name': 'kitchen-s', 'category': {'scene': 718}, 'frequency': 718, 'coverage': 718.0, 'syns': ['']}",scene,0.00442966,"{'number': 637, 'name': 'gazebo-exterior-s', 'category': {'scene': 29}, 'frequency': 29, 'coverage': 29.0, 'syns': ['']}",scene,0.004324162
5,scene,street-s,0.011358390061399961,white-c,72511065,1886670,295404,0.003986433,building,35246027,1196865,327348,0.009063909,balcony,317196,222175,2759,0.005141518,glass,2246777,170041,6207,0.002574866,street-s,28111104,833695,325074,0.011358390061399961,studded,1593088,41903,9245,0.00568662,"{'number': 59, 'name': 'street-s', 'category': {'scene': 2241}, 'frequency': 2241, 'coverage': 2241.0, 'syns': ['']}",scene,0.011358390061399961,"{'number': 18, 'name': 'building', 'category': {'object': 9722}, 'frequency': 9722, 'coverage': 2845.748895, 'syns': ['edifice']}",object,0.009063909,"{'number': 16, 'name': 'tree', 'category': {'object': 10551, 'part': 1}, 'frequency': 10552, 'coverage': 1706.847783, 'syns': ['']}",object,0.00855484,"{'number': 618, 'name': 'abbey-s', 'category': {'scene': 32}, 'frequency': 32, 'coverage': 32.0, 'syns': ['']}",scene,0.006221761,"{'number': 364, 'name': 'studded', 'category': {'texture': 127}, 'frequency': 127, 'coverage': 127.0, 'syns': ['']}",texture,0.00568662
6,texture,lined,0.061619993288559466,orange-c,30348501,2333195,121517,0.003732074,track,493725,945729,43267,0.030989401849465723,roof,443437,133147,3828,0.006683474,metal,3462561,356165,29871,0.007883912,staircase-s,865536,473341,9427,0.007090902,lined,1568000,491512,119541,0.061619993288559466,"{'number': 372, 'name': 'lined', 'category': {'texture': 125}, 'frequency': 125, 'coverage': 125.0, 'syns': ['']}",texture,0.061619993288559466,"{'number': 290, 'name': 'banded', 'category': {'texture': 205}, 'frequency': 205, 'coverage': 205.0, 'syns': ['']}",texture,0.053436858,"{'number': 295, 'name': 'striped', 'category': {'texture': 194}, 'frequency': 194, 'coverage': 194.0, 'syns': ['']}",texture,0.034549496,"{'number': 391, 'name': 'grooved', 'category': {'texture': 120}, 'frequency': 120, 'coverage': 120.0, 'syns': ['']}",texture,0.034200004,"{'number': 209, 'name': 'track', 'category': {'object': 381}, 'frequency': 381, 'coverage': 39.444502, 'syns': ['']}",object,0.030989401849465723
7,texture,swirly,0.040059596,red-c,21004512,1886530,104186,0.004572197,painting,2207098,634761,27976,0.009942133,wheel,1513439,179915,24344,0.014585892235516863,ceramic,679072,419793,7594,0.006958858,labyrinth-indoor-s,137984,323789,3828,0.008359082,swirly,1605632,294508,73187,0.040059596,"{'number': 360, 'name': 'swirly', 'category': {'texture': 128}, 'frequency': 128, 'coverage': 128.0, 'syns': ['']}",texture,0.040059596,"{'number': 374, 'name': 'paisley', 'category': {'texture': 124}, 'frequency': 124, 'coverage': 124.0, 'syns': ['']}",texture,0.026388119853395637,"{'number': 354, 'name': 'interlaced', 'category': {'texture': 130}, 'frequency': 130, 'coverage': 130.0, 'syns': ['']}",texture,0.017691999879477248,"{'number': 44, 'name': 'wheel', 'category': {'part': 3681, 'object': 69}, 'frequency': 3750, 'coverage': 122.407301, 'syns': ['']}",part,0.014585892235516863,"{'number': 359, 'name': 'spiralled', 'category': {'texture': 128}, 'frequency': 128, 'coverage': 128.0, 'syns': ['']}",texture,0.011372848130135999
8,part,crosswalk,0.027315522002232532,grey-c,159331282,2102667,499825,0.003105774,water,5662399,1156705,74338,0.011021583254333805,crosswalk,241792,317758,14878,0.027315522002232532,tile,3959469,242055,17187,0.004107461,lighthouse-s,589568,572729,5503,0.004757113,studded,1593088,196151,25062,0.014206057555449368,"{'number': 256, 'name': 'crosswalk', 'category': {'part': 279}, 'frequency': 279, 'coverage': 19.70806, 'syns': ['']}",part,0.027315522002232532,"{'number': 364, 'name': 'studded', 'category': {'texture': 127}, 'frequency': 127, 'coverage': 127.0, 'syns': ['']}",texture,0.014206057555449368,"{'number': 75, 'name': 'water', 'category': {'object': 1676, 'material': 17, 'part': 7}, 'frequency': 1700, 'coverage': 453.965134, 'syns': ['']}",object,0.011021583254333805,"{'number': 31, 'name': 'road', 'category': {'object': 5500, 'part': 1}, 'frequency': 5501, 'coverage': 1042.181608, 'syns': ['route']}",object,0.009694136,"{'number': 371, 'name': 'braided', 'category': {'texture': 125}, 'frequency': 125, 'coverage': 125.0, 'syns': ['']}",texture,0.007142449
9,part,nose,0.030658236737325838,black-c,139916835,1644129,529651,0.003755556,bus,1628191,939174,58742,0.023416033417536234,nose,155124,311590,13883,0.030658236737325838,glass,2246777,166627,60106,0.025541176680556395,bus_depot-outdoor-s,163072,447465,2954,0.004861887,dotted,2935296,22140,3937,0.001332995,"{'number': 37, 'name': 'nose', 'category': {'part': 4805}, 'frequency': 4805, 'coverage': 12.527917, 'syns': ['']}",part,0.030658236737325838,"{'number': 30, 'name': 'glass', 'category': {'material': 5500, 'object': 21}, 'frequency': 5521, 'coverage': 181.69107, 'syns': ['']}",material,0.025541176680556395,"{'number': 203, 'name': 'bus', 'category': {'object': 399}, 'frequency': 399, 'coverage': 131.143655, 'syns': ['']}",object,0.023416033417536234,"{'number': 51, 'name': 'hair', 'category': {'part': 2813, 'material': 342, 'object': 1}, 'frequency': 3156, 'coverage': 93.815605, 'syns': ['']}",part,0.020510728800967267,"{'number': 40, 'name': 'painting', 'category': {'object': 4285}, 'frequency': 4285, 'coverage': 178.186762, 'syns': ['picture']}",object,0.019968385658655885
10,part,leg,0.027981002,black-c,139916835,2164157,862619,0.006108405,horse,1230680,1283215,50207,0.020378797964677346,leg,2786636,481624,88960,0.027981002,glass,2246777,301629,6649,0.002615907,dining_room-s,5694976,641077,72316,0.011545184607846721,meshed,1756160,96960,12462,0.006770405,"{'number': 22, 'name': 'leg', 'category': {'part': 8443, 'object': 1}, 'frequency': 8444, 'coverage': 224.991031, 'syns': ['']}",part,0.027981002,"{'number': 183, 'name': 'horse', 'category': {'object': 480}, 'frequency': 480, 'coverage': 99.115058, 'syns': ['equus caballus']}",object,0.020378797964677346,"{'number': 36, 'name': 'chair', 'category': {'object': 4935, 'part': 2}, 'frequency': 4937, 'coverage': 373.611498, 'syns': ['']}",object,0.016857672275864818,"{'number': 44, 'name': 'wheel', 'category': {'part': 3681, 'object': 69}, 'frequency': 3750, 'coverage': 122.407301, 'syns': ['']}",part,0.013140962814076475,"{'number': 186, 'name': 'dining_room-s', 'category': {'scene': 454}, 'frequency': 454, 'coverage': 454.0, 'syns': ['']}",scene,0.011545184607846721
11,texture,chequered,0.025065808496553602,white-c,72511065,2102345,870780,0.011808366476758423,snow,995032,1230921,42534,0.019480457,stern,184796,330142,5858,0.011507032293549145,paper,471596,247045,5115,0.007168625,ski_resort-s,188160,583005,9955,0.013077862876210242,chequered,1530368,245742,43431,0.025065808496553602,"{'number': 382, 'name': 'chequered', 'category': {'texture': 122}, 'frequency': 122, 'coverage': 122.0, 'syns': ['']}",texture,0.025065808496553602,"{'number': 224, 'name': 'snow', 'category': {'object': 351}, 'frequency': 351, 'coverage': 79.782331, 'syns': ['']}",object,0.019480457,"{'number': 343, 'name': 'grid', 'category': {'texture': 134, 'object': 2}, 'frequency': 136, 'coverage': 134.108822, 'syns': ['']}",texture,0.013933298553553849,"{'number': 834, 'name': 'ski_resort-s', 'category': {'scene': 15}, 'frequency': 15, 'coverage': 15.0, 'syns': ['']}",scene,0.013077862876210242,"{'number': 3, 'name': 'white-c', 'category': {'color': 62054}, 'frequency': 62054, 'coverage': 5778.038204, 'syns': ['']}",color,0.011808366476758423
12,object,plant,0.016892961,green-c,63326720,1656957,345288,0.005341841,plant,3760075,1118109,81038,0.016892961,pot,422616,260528,2746,0.004035873,food,1104928,201042,8928,0.006883355,greenhouse-indoor-s,363776,558089,7354,0.008041456,sprinkled,1718528,77745,7406,0.004140051,"{'number': 35, 'name': 'plant', 'category': {'object': 4546, 'part': 452}, 'frequency': 4998, 'coverage': 304.198798, 'syns': ['flora', 'plant life']}",object,0.016892961,"{'number': 79, 'name': 'flower', 'category': {'object': 1636, 'part': 3}, 'frequency': 1639, 'coverage': 47.650854, 'syns': ['']}",object,0.013128265177445505,"{'number': 33, 'name': 'grass', 'category': {'object': 5390}, 'frequency': 5390, 'coverage': 1039.167345, 'syns': ['']}",object,0.009814737,"{'number': 169, 'name': 'bush', 'category': {'object': 535, 'part': 1}, 'frequency': 536, 'coverage': 62.859434, 'syns': ['shrub']}",object,0.008342188,"{'number': 636, 'name': 'greenhouse-indoor-s', 'category': {'scene': 29}, 'frequency': 29, 'coverage': 29.0, 'syns': ['']}",scene,0.008041456
13,object,person,0.054393414,red-c,21004512,2570056,156352,0.006676512,person,14523849,1093453,805656,0.054393414,torso,7669375,685477,310418,0.038587923,fabric,8548746,409673,80639,0.009083239,banquet_hall-s,125440,418943,4930,0.009138887,perforated,1793792,90200,21330,0.011451353,"{'number': 19, 'name': 'person', 'category': {'object': 9520}, 'frequency': 9520, 'coverage': 1169.760523, 'syns': ['soul', 'someone', 'somebody', 'individual', 'mortal']}",object,0.054393414,"{'number': 26, 'name': 'torso', 'category': {'part': 7506}, 'frequency': 7506, 'coverage': 617.975999, 'syns': ['']}",part,0.038587923,"{'number': 28, 'name': 'arm', 'category': {'part': 6178}, 'frequency': 6178, 'coverage': 186.057706, 'syns': ['']}",part,0.028899332898734434,"{'number': 39, 'name': 'neck', 'category': {'part': 4619}, 'frequency': 4619, 'coverage': 65.656601, 'syns': ['']}",part,0.013099453174933296,"{'number': 334, 'name': 'perforated', 'category': {'texture': 143}, 'frequency': 143, 'coverage': 143.0, 'syns': ['']}",texture,0.011451353
