unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou,top1-label,top1-category,top1-iou,top2-label,top2-category,top2-iou,top3-label,top3-category,top3-iou,top4-label,top4-category,top4-iou,top5-label,top5-category,top5-iou
58,texture,waffled,0.00698977,green-c,63326720,897863,115296,0.001798429,palm,316229,446066,3102,0.004085918,paw,266872,140989,1970,0.00485352,food,1104928,137605,3553,0.002867681,manufactured_home-s,137984,215814,589,0.001667568,waffled,1555456,84882,11386,0.00698977,"{'number': 376, 'name': 'waffled', 'category': {'texture': 124}, 'frequency': 124, 'coverage': 124.0, 'syns': ['']}",texture,0.00698977,"{'number': 87, 'name': 'paw', 'category': {'part': 1450}, 'frequency': 1450, 'coverage': 21.580161, 'syns': ['']}",part,0.00485352,"{'number': 200, 'name': 'palm', 'category': {'object': 405}, 'frequency': 405, 'coverage': 25.589818, 'syns': ['palm tree']}",object,0.004085918,"{'number': 93, 'name': 'dog', 'category': {'object': 1309}, 'frequency': 1309, 'coverage': 305.735527, 'syns': ['canis familiaris', 'domestic dog']}",object,0.00372562,"{'number': 32, 'name': 'ear', 'category': {'part': 5414, 'object': 5}, 'frequency': 5419, 'coverage': 63.248332, 'syns': ['']}",part,0.003454196
59,color,blue-c,0.004055957,blue-c,61494563,1252414,253471,0.004055957,car,5354795,672536,16408,0.002729697,shade,197478,141863,888,0.002623703,paper,471596,202757,1993,0.002964186,living_room-s,9621248,394114,22052,0.002206676,waffled,1555456,74379,5794,0.003567644,"{'number': 8, 'name': 'blue-c', 'category': {'color': 57825}, 'frequency': 57825, 'coverage': 4899.174121, 'syns': ['']}",color,0.004055957,"{'number': 7, 'name': 'purple-c', 'category': {'color': 59516}, 'frequency': 59516, 'coverage': 865.041519, 'syns': ['']}",color,0.003634929,"{'number': 376, 'name': 'waffled', 'category': {'texture': 124}, 'frequency': 124, 'coverage': 124.0, 'syns': ['']}",texture,0.003567644,"{'number': 71, 'name': 'paper', 'category': {'material': 1171, 'object': 691, 'part': 1}, 'frequency': 1863, 'coverage': 37.945223, 'syns': ['']}",material,0.002964186,"{'number': 38, 'name': 'car', 'category': {'object': 4743}, 'frequency': 4743, 'coverage': 431.686181, 'syns': ['motorcar', 'automobile', 'auto']}",object,0.002729697
60,texture,honeycombed,0.003941949,brown-c,182265724,1380190,438614,0.002394086,wall,48917895,559052,139636,0.002830231,hair,1159565,98909,4336,0.003457355,painted,13470129,285162,44102,0.003216497,waiting_room-s,1329664,336767,4622,0.002781306,honeycombed,1555456,65338,6364,0.003941949,"{'number': 378, 'name': 'honeycombed', 'category': {'texture': 124}, 'frequency': 124, 'coverage': 124.0, 'syns': ['']}",texture,0.003941949,"{'number': 51, 'name': 'hair', 'category': {'part': 2813, 'material': 342, 'object': 1}, 'frequency': 3156, 'coverage': 93.815605, 'syns': ['']}",part,0.003457355,"{'number': 20, 'name': 'painted', 'category': {'material': 9124}, 'frequency': 9124, 'coverage': 1087.511752, 'syns': ['']}",material,0.003216497,"{'number': 12, 'name': 'wall', 'category': {'object': 15553, 'part': 29}, 'frequency': 15582, 'coverage': 3947.579313, 'syns': ['']}",object,0.002830231,"{'number': 410, 'name': 'waiting_room-s', 'category': {'scene': 106}, 'frequency': 106, 'coverage': 106.0, 'syns': ['']}",scene,0.002781306
61,object,grass,0.019268355,green-c,63326720,1563877,1030417,0.016135517,grass,12961339,1103332,265880,0.019268355,pane,480756,220277,3340,0.004787206,foliage,30325,101976,614,0.004662571,park-s,1179136,537736,15833,0.009307841,frilly,1618176,139312,11818,0.006769894,"{'number': 33, 'name': 'grass', 'category': {'object': 5390}, 'frequency': 5390, 'coverage': 1039.167345, 'syns': ['']}",object,0.019268355,"{'number': 5, 'name': 'green-c', 'category': {'color': 61508}, 'frequency': 61508, 'coverage': 5049.989735, 'syns': ['']}",color,0.016135517,"{'number': 35, 'name': 'plant', 'category': {'object': 4546, 'part': 452}, 'frequency': 4998, 'coverage': 304.198798, 'syns': ['flora', 'plant life']}",object,0.013348283,"{'number': 430, 'name': 'park-s', 'category': {'scene': 94}, 'frequency': 94, 'coverage': 94.0, 'syns': ['']}",scene,0.009307841,"{'number': 16, 'name': 'tree', 'category': {'object': 10551, 'part': 1}, 'frequency': 10552, 'coverage': 1706.847783, 'syns': ['']}",object,0.008670403
62,part,top,0.015405513,brown-c,182265724,1434704,443875,0.002422151,table,4805122,641276,43915,0.00812867,top,381885,119704,7610,0.015405513,granite,1315719,334572,19303,0.011835158,airport_terminal-s,1480192,416648,13168,0.006990601,frilly,1618176,43330,2942,0.001773824,"{'number': 108, 'name': 'top', 'category': {'part': 976, 'object': 2}, 'frequency': 978, 'coverage': 30.961475, 'syns': ['']}",part,0.015405513,"{'number': 80, 'name': 'granite', 'category': {'material': 1638}, 'frequency': 1638, 'coverage': 106.189539, 'syns': ['marble']}",material,0.011835158,"{'number': 27, 'name': 'table', 'category': {'object': 6246}, 'frequency': 6246, 'coverage': 386.74826, 'syns': ['']}",object,0.00812867,"{'number': 14, 'name': 'floor', 'category': {'object': 12133, 'part': 4}, 'frequency': 12137, 'coverage': 1653.990309, 'syns': ['flooring']}",object,0.007250483,"{'number': 396, 'name': 'airport_terminal-s', 'category': {'scene': 118}, 'frequency': 118, 'coverage': 118.0, 'syns': ['']}",scene,0.006990601
63,texture,zigzagged,0.013828925,black-c,139916835,1323885,288231,0.002044881,bicycle,1152271,581522,13871,0.008064901,wheel,1513439,202897,18193,0.010713468,metal,3462561,234166,9415,0.002553351,laundromat-s,363776,274606,2542,0.003997861,zigzagged,1618176,156859,24212,0.013828925,"{'number': 356, 'name': 'zigzagged', 'category': {'texture': 129}, 'frequency': 129, 'coverage': 129.0, 'syns': ['']}",texture,0.013828925,"{'number': 44, 'name': 'wheel', 'category': {'part': 3681, 'object': 69}, 'frequency': 3750, 'coverage': 122.407301, 'syns': ['']}",part,0.010713468,"{'number': 115, 'name': 'bicycle', 'category': {'object': 886}, 'frequency': 886, 'coverage': 92.843403, 'syns': ['bike', 'cycle']}",object,0.008064901,"{'number': 82, 'name': 'shade', 'category': {'part': 1554}, 'frequency': 1554, 'coverage': 16.055695, 'syns': ['']}",part,0.00736702,"{'number': 50, 'name': 'lamp', 'category': {'object': 3386, 'part': 5}, 'frequency': 3391, 'coverage': 48.047357, 'syns': ['']}",object,0.005923123
64,texture,chequered,0.01142663,black-c,139916835,1411563,1137603,0.008114677,car,5354795,610391,16372,0.002752145,frame,136341,146158,1772,0.006312182,plastic-opaque,577397,182158,1251,0.001649734,cockpit-s,539392,304409,2639,0.003137327,chequered,1530368,151326,18999,0.01142663,"{'number': 382, 'name': 'chequered', 'category': {'texture': 122}, 'frequency': 122, 'coverage': 122.0, 'syns': ['']}",texture,0.01142663,"{'number': 1, 'name': 'black-c', 'category': {'color': 62358}, 'frequency': 62358, 'coverage': 11135.320474, 'syns': ['']}",color,0.008114677,"{'number': 166, 'name': 'frame', 'category': {'part': 505, 'object': 36}, 'frequency': 541, 'coverage': 10.900613, 'syns': ['']}",part,0.006312182,"{'number': 343, 'name': 'grid', 'category': {'texture': 134, 'object': 2}, 'frequency': 136, 'coverage': 134.108822, 'syns': ['']}",texture,0.005279791,"{'number': 359, 'name': 'spiralled', 'category': {'texture': 128}, 'frequency': 128, 'coverage': 128.0, 'syns': ['']}",texture,0.004765459
65,object,ceiling,0.007232727,yellow-c,34166024,2020453,129702,0.00359716,ceiling,12122565,710145,92149,0.007232727,pot,422616,163866,2338,0.004002438,painted,13470129,525368,99173,0.007136636,hotel_room-s,2207744,412321,8637,0.003307386,honeycombed,1555456,70819,6861,0.004236718,"{'number': 25, 'name': 'ceiling', 'category': {'object': 7812, 'part': 3}, 'frequency': 7815, 'coverage': 974.896306, 'syns': ['']}",object,0.007232727,"{'number': 20, 'name': 'painted', 'category': {'material': 9124}, 'frequency': 9124, 'coverage': 1087.511752, 'syns': ['']}",material,0.007136636,"{'number': 34, 'name': 'metal', 'category': {'material': 4843, 'object': 216}, 'frequency': 5059, 'coverage': 279.712176, 'syns': ['']}",material,0.006069573,"{'number': 378, 'name': 'honeycombed', 'category': {'texture': 124}, 'frequency': 124, 'coverage': 124.0, 'syns': ['']}",texture,0.004236718,"{'number': 377, 'name': 'freckled', 'category': {'texture': 124}, 'frequency': 124, 'coverage': 124.0, 'syns': ['']}",texture,0.004134408
66,texture,perforated,0.064234254,purple-c,10857154,2456567,57274,0.004320464,skyscraper,1270392,1005516,103105,0.04745253,metal shutter,53868,128094,2184,0.012148316,brick,422313,183187,8806,0.014757983,skyscraper-s,4402944,640201,154736,0.031653653,perforated,1793792,788201,155842,0.064234254,"{'number': 334, 'name': 'perforated', 'category': {'texture': 143}, 'frequency': 143, 'coverage': 143.0, 'syns': ['']}",texture,0.064234254,"{'number': 241, 'name': 'skyscraper', 'category': {'object': 310}, 'frequency': 310, 'coverage': 102.142014, 'syns': ['']}",object,0.04745253,"{'number': 335, 'name': 'woven', 'category': {'texture': 142}, 'frequency': 142, 'coverage': 142.0, 'syns': ['']}",texture,0.042901674,"{'number': 223, 'name': 'skyscraper-s', 'category': {'scene': 351}, 'frequency': 351, 'coverage': 351.0, 'syns': ['']}",scene,0.031653653,"{'number': 337, 'name': 'meshed', 'category': {'texture': 140}, 'frequency': 140, 'coverage': 140.0, 'syns': ['']}",texture,0.027044908
67,texture,chequered,0.00759742,white-c,72511065,1701429,188074,0.002540702,chair,4633108,709823,28132,0.005293145,wheel,1513439,211837,8608,0.005014365,paper,471596,361185,2439,0.002937344,dinette-vehicle-s,564480,381500,3197,0.003391024,chequered,1530368,113104,12392,0.00759742,"{'number': 382, 'name': 'chequered', 'category': {'texture': 122}, 'frequency': 122, 'coverage': 122.0, 'syns': ['']}",texture,0.00759742,"{'number': 36, 'name': 'chair', 'category': {'object': 4935, 'part': 2}, 'frequency': 4937, 'coverage': 373.611498, 'syns': ['']}",object,0.005293145,"{'number': 44, 'name': 'wheel', 'category': {'part': 3681, 'object': 69}, 'frequency': 3750, 'coverage': 122.407301, 'syns': ['']}",part,0.005014365,"{'number': 171, 'name': 'stern', 'category': {'part': 527}, 'frequency': 527, 'coverage': 14.897849, 'syns': ['']}",part,0.004625045,"{'number': 38, 'name': 'car', 'category': {'object': 4743}, 'frequency': 4743, 'coverage': 431.686181, 'syns': ['motorcar', 'automobile', 'auto']}",object,0.004472961
