unit,description,sim correlation
0,arm,0.028704160824418068
1,neck,0.07254255563020706
2,chair,0.08075538277626038
3,muzzle,0.11447975039482117
4,monitor,0.06348609924316406
5,car,0.014313998632133007
6,muzzle,0.04005039110779762
7,footboard,0.0003926331119146198
8,bedclothes,-0.01003862451761961
9,screen,0.045918192714452744
10,ear,0.06430167704820633
11,wheel,0.09041775017976761
12,neck,0.07333789765834808
13,spiralled,0.09376116842031479
14,wood,-0.008355534635484219
15,zigzagged,0.09493523836135864
16,food,0.22989727556705475
17,freckled,0.0668240413069725
18,crosswalk,0.10632874816656113
19,mountain snowy,0.06912979483604431
20,torso,0.10364766418933868
21,zigzagged,0.020215358585119247
22,muzzle,0.09409752488136292
23,sky,0.13043935596942902
24,hair,0.14617019891738892
25,shoe shop,0.12634623050689697
26,veined,0.15594689548015594
27,screen,0.09074170887470245
28,door frame,0.14354562759399414
29,banded,-0.0583600178360939
30,park,0.15827645361423492
31,cobwebbed,0.11456093192100525
32,cabinet,0.19183321297168732
33,car,0.20003634691238403
34,waffled,0.06331352889537811
35,bed,0.1276126503944397
36,car,0.18455034494400024
37,studded,0.06786961853504181
38,ceramic,0.11319668591022491
39,paw,-0.004896146710962057
40,sky,-0.0345972441136837
41,food,0.03698214888572693
42,hair,0.008762422017753124
43,roof,0.11810194700956345
44,paw,0.27599719166755676
45,studded,0.0698818638920784
46,dotted,-0.023111682385206223
47,dog,0.1952511966228485
48,paisley,0.0443413108587265
49,"polka, dotted",0.15591174364089966
50,dog,0.3101024925708771
51,car,0.18829110264778137
52,hair,0.060629718005657196
53,screen,0.11613095551729202
54,grooved,0.11036743968725204
55,wheel,0.08717379719018936
56,sprinkled,0.08751589059829712
57,shade,0.012634862214326859
58,hair,0.17341776192188263
59,wheel,0.2072199136018753
60,leg,-0.02868003211915493
61,frilly,0.11342204362154007
62,flecked,0.20186376571655273
63,wheel,0.08360744267702103
64,studded,0.13136026263237
65,lined,0.12817727029323578
66,torso,0.003985982853919268
67,top,0.04249098524451256
68,headlight,0.0895175188779831
69,person,0.020183317363262177
70,perforated,0.061674583703279495
71,plant,0.17047347128391266
72,pool table,0.020641840994358063
73,red color,0.4010481536388397
74,sky,0.09033909440040588
75,lacelike,0.026340385898947716
76,horse,0.033350639045238495
77,dotted,0.09048046916723251
78,body,-0.04725227504968643
79,neck,0.05977671593427658
80,track,0.038250844925642014
81,screen,0.09441769868135452
82,wheel,-0.018835926428437233
83,frilly,0.08267601579427719
