unit,description,sim correlation,sim ablation(norm),sim ablation(optim)
157,laundromat,0.0591867864131927,-0.0060338973999023,0.014535367488861084
158,book,0.0734127238392829,0.0061372518539428,0.01769280433654785
159,dog,0.21254463493824,0.0130484104156494,0.036729395389556885
160,house,0.0578826405107975,0.0094969868659973,0.021347463130950928
161,coast,0.1716369688510894,0.0254270434379577,0.024779319763183594
162,wheel,0.134629413485527,0.0105150341987609,0.013051867485046387
163,house,0.3100605010986328,0.0635222196578979,0.024615824222564697
164,cat,0.1113062873482704,0.0074478983879089,0.007098555564880371
165,pool table,0.1376634538173675,-0.0092045068740844,-0.0011255741119384766
166,living room,0.0949762016534805,0.0106166005134582,0.013058245182037354
167,plant,0.3293605446815491,0.047116994857788,0.04002213478088379
168,shop window,0.0569045022130012,0.0028486251831054,0.009594202041625977
169,"cathedral, indoor",0.2191825658082962,0.0155691504478454,0.01268017292022705
170,bathtub,0.3054738342761993,0.0858244895935058,0.029826462268829346
171,leather,0.0332064181566238,-0.0002874135971069,-0.0012260675430297852
172,dog,0.1509898900985717,0.0111340880393981,0.020586848258972168
173,red color,0.1075846701860427,0.0160341262817382,0.02107059955596924
174,head,-0.0217795521020889,5.525350570678711e-05,0.0013388395309448242
175,bottle,0.2252868264913559,0.0192416906356811,0.017855167388916016
176,sheep,0.1469897329807281,0.0087734460830688,0.023482680320739746
177,cat,0.3080931305885315,0.0674980878829956,0.04856538772583008
178,drawer,0.3138572573661804,0.0892987847328186,0.0401921272277832
179,airplane,0.116224966943264,0.0039087533950805,0.011448383331298828
180,sea,0.1763566732406616,0.0243611335754394,0.026291966438293457
181,waterfall,0.1459209620952606,0.0265301465988159,0.020697414875030518
182,kitchen,0.2944914996623993,0.0464316606521606,0.016141295433044434
183,person,0.0255002453923225,0.0007668733596801,0.019121825695037842
184,dog,0.0109040718525648,-7.867813110351562e-06,0.007873713970184326
185,veined,0.1383014768362045,0.0095389485359191,0.010860800743103027
186,torso,0.0755965113639831,0.0024163126945495,0.002997756004333496
187,chair,0.2237983793020248,0.026111364364624,0.02141094207763672
188,lacelike,0.0297028589993715,0.0008667111396789,0.003959059715270996
189,hand,0.2297344356775283,0.0249050855636596,0.006659209728240967
190,car,0.2102746814489364,0.0176135301589965,0.016857266426086426
191,airplane,0.1543692797422409,0.0087605714797973,0.00941014289855957
192,bus,0.2029900103807449,0.0039047598838806,0.006070911884307861
193,lid,0.0927281901240348,0.0070576667785644,0.01334381103515625
194,dog,0.2277123481035232,0.011961281299591,0.027293086051940918
195,bird,0.3248478770256042,0.0391348004341125,0.06157130002975464
196,dog,0.1847690939903259,0.0184037685394287,0.02823662757873535
197,wheel,0.0925376489758491,0.0062617659568786,0.0041542649269104
198,tile,0.0989896357059478,0.0025237798690795,0.001744687557220459
199,shoe shop,0.1257989108562469,0.0128397941589355,0.008078038692474365
200,mountain,0.3849179446697235,0.0859346389770507,0.03579169511795044
201,leg,0.09770268201828,0.0008710026741027,0.006913661956787109
202,toilet,0.1243515461683273,0.0053681135177612,0.018681466579437256
203,airplane,0.0665616765618324,0.0017037391662597,0.01138007640838623
204,pool table,0.1068654358386993,-0.0176019668579101,-0.01003420352935791
205,bakeryhop,0.1854593604803085,0.0219298005104064,0.012395679950714111
206,horse,0.1239824220538139,0.0004398226737976,0.001558065414428711
207,pool table,0.0596321001648902,-0.00439453125,0.0016829967498779297
208,dog,0.2448086440563202,0.0748031735420227,0.07991254329681396
209,bus,0.1698920428752899,0.0188814997673034,0.029139935970306396
210,spiralled,0.0759634003043174,-0.001117467880249,-0.002366304397583008
211,amusement park,0.1462409049272537,0.0070669054985046,0.007495522499084473
212,horse,0.1089222505688667,0.0031781792640686,0.03388011455535889
213,paper,0.0982473343610763,0.0076175332069396,0.012456953525543213
214,dog,0.1874379217624664,-0.0048580169677734,0.010949134826660156
215,stove,0.1329183578491211,0.0134138464927673,0.01211005449295044
216,dog,0.0700920969247818,-0.0070114135742187,0.0002033710479736328
217,dog,0.2512942552566528,0.0442955493927001,0.06540703773498535
218,tent,0.1608260124921798,-0.0004520416259765,0.001933276653289795
219,veined,0.0977301597595214,0.0044697523117065,0.017586946487426758
220,"movie theater, indoor",0.1030667424201965,0.0089269876480102,0.009434759616851807
221,seat,-0.004783087875694,-0.0004996061325073,0.0021126270294189453
222,cobwebbed,0.1457080394029617,0.0070346593856811,0.015466511249542236
223,dog,0.0727493837475776,-0.0005590915679931,-0.001824021339416504
224,toilet,0.1550785452127456,0.0084415674209594,0.0163421630859375
225,bus,0.0577869638800621,0.0010141134262084,0.006006002426147461
226,dog,0.2653125524520874,0.0560707449913024,0.06347769498825073
227,sprinkled,0.071477323770523,0.0039557814598083,0.008656322956085205
228,airplane,0.0511613860726356,0.0008550882339477,0.00896376371383667
229,carpet,0.1580909937620163,0.0105675458908081,0.012437582015991211
230,pool table,0.1688166856765747,0.001674473285675,0.008170545101165771
231,cat,0.1995327770709991,0.0420635342597961,0.06035810708999634
232,metal,0.1007223129272461,0.0040249824523925,0.0030063390731811523
233,zigzagged,0.0652073770761489,-0.0004950761795043,-0.006153583526611328
234,veined,0.0053632198832929,-2.6226043701171875e-06,0.007685601711273193
235,dog,0.0476149022579193,0.001111626625061,0.014817416667938232
236,fence,0.1933523118495941,0.0182612538337707,0.039483726024627686
237,torso,-0.0005965601885691,0.0002668499946594,0.016212880611419678
238,"casino, indoor",0.1086050868034362,0.0004242658615112,-0.0008466243743896484
239,woven,0.1959537863731384,0.0056056976318359,0.008471429347991943
240,road,0.1838700324296951,0.0195160508155822,0.0166093111038208
241,crystalline,0.0484533496201038,0.0023910999298095,0.01164013147354126
242,lamp,0.2127189189195633,0.0634943842887878,0.03336244821548462
243,chequered,0.0109238401055336,-0.0004267692565917,0.0036534667015075684
244,bicycle,0.1872339844703674,0.0081142783164978,0.02033156156539917
245,pool table,0.0614256337285041,-0.0007439851760864,0.004457533359527588
246,carpet,0.1624950617551803,0.0172870159149169,0.008132696151733398
247,sheep,0.1582625657320022,0.010441243648529,0.019584059715270996
248,toilet,0.0560318157076835,0.0008689761161804,0.005092501640319824
249,crosshatched,0.0709308609366417,0.0041704177856445,0.005397796630859375
250,railing,0.1447994410991668,0.0088255405426025,0.011594414710998535
251,bird,0.1587849259376526,0.0073785185813903,0.020037829875946045
252,meshed,0.0904808938503265,0.0249836444854736,0.01788651943206787
253,swirly,0.1535572111606598,0.0113831758499145,0.008045315742492676
254,potholed,0.0459610112011432,0.0004220008850097,0.0027445554733276367
255,spiralled,0.0946141704916954,0.001162052154541,0.007665157318115234
256,mountain snowy,0.335748940706253,0.0537470579147338,0.022144079208374023
257,fibrous,0.1208565756678581,0.0135046243667602,0.026653826236724854
258,nursery,0.0628529489040374,0.0002420544624328,0.02405548095703125
259,cat,0.0806076824665069,-0.0045479536056518,0.022233664989471436
260,cobwebbed,0.198875680565834,0.0116664171218872,0.008040428161621094
261,roof,0.1791387796401977,0.0995779037475586,0.0754082202911377
262,toilet,0.1010190844535827,0.0013641119003295,0.0013995766639709473
263,paper,0.1343424320220947,0.0348802804946899,0.027637064456939697
264,"warehouse, indoor",0.1022800356149673,0.0033010244369506,0.0041048526763916016
265,crosshatched,-0.0345052778720855,0.0015337467193603,0.004700064659118652
266,pleated,0.1117556318640708,-0.002036690711975,0.006504535675048828
267,sky,0.1873991787433624,0.0259410738945007,0.0211295485496521
268,water,0.1836545616388321,0.0174775719642639,0.02156829833984375
269,dog,0.4176370501518249,0.0926253795623779,0.08882248401641846
270,batters box,0.1147588863968849,0.0037843585014343,0.008311867713928223
271,dog,0.1554135531187057,0.0174908638000488,0.02588433027267456
272,airplane,0.0937398970127105,0.0025056600570678,0.030237913131713867
273,stove,0.0919927209615707,0.005836546421051,0.012342453002929688
274,metal,0.2004655599594116,0.0155831575393676,0.010165393352508545
275,cat,0.0835278555750846,0.0058724880218505,0.011578142642974854
276,veined,0.1944669783115387,0.0175424814224243,0.01309669017791748
277,bed,0.0481508187949657,0.0016945600509643,0.015851974487304688
278,dog,0.3213193416595459,0.0652021169662475,0.09200793504714966
279,fishpond,0.1518034636974334,0.007922887802124,0.014341115951538086
280,airplane,0.0742487385869026,0.0039634704589843,0.023739933967590332
281,"poolroom, home",0.0394195094704628,-0.0002455711364746,0.012185811996459961
282,bed,0.1039651483297348,0.005835473537445,0.011823117733001709
283,car,0.1492702215909958,0.0172637104988098,0.017677605152130127
284,"cathedral, indoor",0.2257711589336395,0.0279905200004577,0.019827842712402344
285,hand,0.120261326432228,0.0112963914871215,0.007977962493896484
286,torso,0.040120180696249,0.000776469707489,0.0008829832077026367
287,stratified,-0.0435068309307098,0.0002092719078063,0.007045924663543701
288,hand,0.0848906636238098,-0.0009193420410156,0.0024365782737731934
289,cracked,0.0894479230046272,0.0027047395706176,0.00854557752609253
290,body,-0.0402263402938842,0.0010733604431152,-0.000735163688659668
291,fibrous,0.1679367870092392,0.0138031840324401,0.02550041675567627
292,torso,0.0668517872691154,0.0021963119506835,0.007575631141662598
293,amusement park,0.0359727144241333,0.0009797811508178,0.004983067512512207
294,motorbike,0.1609676778316497,0.0135799050331115,0.01643139123916626
295,crystalline,-0.0490858405828475,0.001513659954071,0.004420340061187744
296,bathtub,0.253030002117157,0.0603088736534118,0.01570504903793335
297,lighthouse,0.0906760394573211,-0.001832365989685,0.020939648151397705
298,boat,0.1581248044967651,0.0072212219238281,0.010240137577056885
299,cat,0.0680138245224952,0.0085316896438598,0.016187548637390137
300,water,0.2366506606340408,0.0280590057373046,0.03611397743225098
301,fence,0.1268233060836792,0.0112454295158386,0.023798823356628418
302,dog,0.3637068271636963,0.0961599349975586,0.09199362993240356
303,nursery,0.112797126173973,0.0086064934730529,0.01349562406539917
304,laundromat,0.0555738881230354,0.0008394718170166,0.0007455945014953613
305,laundromat,0.0422390215098857,-3.0994415283203125e-05,0.009378135204315186
306,rope bridge,0.1346632093191146,0.0235417485237121,0.019003868103027344
307,bridge,0.2170326113700866,-0.0006153583526611,0.033508241176605225
308,studded,0.0675580948591232,0.0022082328796386,0.0036329030990600586
309,mountain,0.1932243108749389,0.020169198513031,0.01712113618850708
310,food,0.1522824615240097,0.0059119462966918,0.05075550079345703
311,roof,0.0940385237336158,0.0098311305046081,0.018250703811645508
312,potholed,0.1583140045404434,0.0108295083045959,0.008718907833099365
313,car,0.0759371891617775,-0.002078890800476,-0.0004546642303466797
314,cat,0.1535995900630951,0.014672577381134,0.015525102615356445
315,water,0.1221587657928466,-0.0046993494033813,0.008133351802825928
316,bathroom,0.1480947732925415,0.0123857855796813,0.009881436824798584
317,wheel,0.1305741518735885,0.0075685381889343,0.016016781330108643
318,"casino, indoor",0.1173982843756675,0.000350534915924,0.002979278564453125
319,torso,-0.0351811870932579,0.0011988878250122,0.011545658111572266
320,perforated,0.1423099935054779,0.0229513049125671,0.02859199047088623
321,pot,0.3749161064624786,0.0822465419769287,0.060941874980926514
322,water,0.1488615125417709,0.0144102573394775,0.015994250774383545
323,cobwebbed,0.1276000738143921,-0.0001505613327026,0.009458959102630615
324,stern,0.0241328869014978,-0.0003191232681274,-0.0010800361633300781
325,dog,0.0392142049968242,0.0001146793365478,0.0029227733612060547
326,braided,0.1067995950579643,0.0073928833007812,0.00792306661605835
327,house,0.1370584964752197,0.0152750611305236,0.0188368558883667
328,cobwebbed,0.2239227890968322,0.0169342756271362,0.027669906616210938
329,food,0.2064981609582901,0.0252977609634399,0.02576303482055664
330,dog,0.2389599382877349,0.0362463593482971,0.04119682312011719
331,dog,0.4792129099369049,0.1690460443496704,0.10291951894760132
332,dining room,0.0933684036135673,0.0027844905853271,0.008996725082397461
333,freckled,0.0828963071107864,0.0051857829093933,0.019836127758026123
334,toilet,0.0884227529168129,0.0068851709365844,0.005148649215698242
335,cat,0.1462834626436233,0.0065596103668212,0.015836775302886963
336,"planetarium, outdoor",0.1668721437454223,0.0076018571853637,0.01614755392074585
337,lighthouse,0.0748266130685806,-0.0007380247116088,7.402896881103516e-05
338,spiralled,0.0398768186569213,0.0002351999282836,0.008911669254302979
339,ceramic,0.2189674228429794,0.0163162350654602,0.014983594417572021
340,"poolroom, home",0.0049961949698626,0.0009743571281433,0.001103520393371582
341,dotted,0.0448048412799835,0.0014227628707885,0.005052506923675537
342,sheep,0.0444577485322952,-0.00669527053833,0.05005168914794922
343,playroom,0.1754490733146667,0.0016630291938781,0.010502398014068604
344,sink,0.1046085357666015,0.0066254138946533,0.010708987712860107
345,plant,0.1585387587547302,0.0136743783950805,0.01392507553100586
346,hair,0.0891500562429428,0.0018501877784729,0.01883220672607422
347,fibrous,0.0584048703312873,-0.0008051395416259,0.011170625686645508
348,gauzy,0.1403925567865371,0.0360792875289917,0.021232545375823975
349,drawer,0.247093454003334,0.0532282590866088,0.02889782190322876
350,spiralled,0.0759543851017952,-0.0059497356414794,-5.519390106201172e-05
351,food,0.1519058346748352,0.023186981678009,0.025889873504638672
352,bed,0.2048535346984863,0.0063697695732116,0.008469879627227783
353,dog,0.1959132254123687,0.024808645248413,0.03810304403305054
354,sheep,0.1235174760222435,0.0021848082542419,0.022926628589630127
355,fabric,0.1443263590335846,0.0103833079338073,0.009602546691894531
356,zigzagged,0.2486690729856491,0.0122691988945007,0.022319674491882324
357,fibrous,0.0904130116105079,0.0137401223182678,0.023565053939819336
358,dog,0.0978067144751548,0.0034061670303344,0.004400134086608887
359,stern,0.108788214623928,0.0044516324996948,0.013967275619506836
360,amusement park,0.067958302795887,0.0011103153228759,0.00787663459777832
361,bicycle,0.0544592142105102,0.000305950641632,-8.702278137207031e-06
362,bird,0.1054125428199768,-0.0012851953506469,0.0038802027702331543
363,dog,0.0933200120925903,0.0015885829925537,0.010106563568115234
364,dog,0.1935636550188064,0.0292387008666992,0.03971409797668457
365,windowpane,0.2524707615375519,0.0525138974189758,0.0203096866607666
366,hand,0.116782508790493,0.0078746080398559,0.002388179302215576
367,carpet,0.187430128455162,0.0360897779464721,0.01324838399887085
368,sheep,0.1269566565752029,0.0036033391952514,0.019315898418426514
369,playground,0.1069949343800544,0.0004811882972717,0.012643396854400635
370,plate,0.3147774934768677,0.0594483613967895,0.01912909746170044
371,bubbly,0.027509044855833,-0.0005849599838256,-0.0065174102783203125
372,spiralled,0.0611501708626747,-0.0010690689086914,0.006089329719543457
373,fibrous,0.0938721373677253,0.0117771625518798,0.017101407051086426
374,tree,0.2165633887052536,0.018630027770996,0.017010867595672607
375,motorbike,0.1387872695922851,0.0107735395431518,0.029467761516571045
376,bed,0.2832903265953064,0.0278613567352294,0.02053213119506836
377,freckled,0.1510705649852752,0.0064725279808044,0.0076580047607421875
378,food,0.1547085791826248,0.0198737978935241,0.029720783233642578
379,striped,0.0491638071835041,-0.0039058923721313,0.008943557739257812
380,grass,0.2512293756008148,0.031032383441925,0.026434123516082764
381,freckled,0.1130032986402511,0.0077391266822814,0.0043953657150268555
382,leg,0.0155362142249941,-0.0005959272384643,0.033133625984191895
383,dog,0.0600648187100887,-0.0001678466796875,0.010384023189544678
384,bird,0.2703206241130829,0.0413389801979064,0.05906081199645996
385,roundabout,-0.0174602847546339,0.0005350708961486,0.0036919116973876953
386,paisley,0.1368864178657531,0.0125566720962524,0.00830000638961792
387,dog,0.1900238096714019,0.0215610265731811,0.04419302940368652
388,dog,0.3264141976833343,0.0667285919189453,0.06797075271606445
389,stratified,-0.0480816103518009,0.0015095472335815,0.009437322616577148
390,ceiling,0.0571321807801723,0.0023335814476013,0.006853699684143066
391,campsite,0.1616335958242416,0.0093523263931274,0.010669589042663574
392,horse,0.1945819854736328,-0.0001136064529418,0.015328526496887207
393,waffled,0.1266363561153412,-0.0040918588638305,0.012933075428009033
394,bookstore,0.1616671681404113,0.0276007056236267,0.017059743404388428
395,muzzle,0.1283156275749206,0.012652575969696,0.023963570594787598
396,braided,0.1781311184167862,0.0258101224899292,0.0129203200340271
397,mountain snowy,0.1046090722084045,0.0066484212875366,0.02817714214324951
398,perforated,0.1035543009638786,0.0060862302780151,0.006891369819641113
399,cobwebbed,0.1533710807561874,0.0074077248573303,0.030111491680145264
400,dog,0.1286403238773346,0.0136167407035827,0.023708581924438477
401,perforated,0.1042161062359809,0.0032978057861328,0.008484721183776855
402,body,-0.0405191294848918,0.001929223537445,0.0003412961959838867
403,stratified,-0.0061728674918413,-2.384185791015625e-06,0.008392751216888428
404,person,0.0488831587135791,0.0031231641769409,0.00537109375
405,cat,0.1497607082128524,0.0195405483245849,0.016692042350769043
406,wheel,0.038969948887825,-0.0003548860549926,5.4776668548583984e-05
407,dog,0.2417512536048889,0.0396201014518737,0.05332106351852417
408,bakeryhop,0.1167781203985214,0.0102215409278869,0.025405049324035645
409,person,0.0603166185319423,0.0042388439178466,0.014741897583007812
410,wheel,0.0337184742093086,0.0007627010345458,0.0006476640701293945
411,stratified,-0.0174450706690549,0.000206172466278,0.031651198863983154
412,train,0.1730893403291702,0.0160031914710998,0.026286065578460693
413,seat cushion,0.0245313700288534,-0.0001910924911499,0.001490950584411621
414,matted,0.2919194400310516,0.0413413047790527,0.04551684856414795
415,book,0.1491934657096862,0.018577754497528,0.007415115833282471
416,cat,0.1277385056018829,0.0059443712234497,0.03553706407546997
417,meshed,0.0620965845882892,-0.0019196271896362,0.008459210395812988
418,horse,0.1057549491524696,-0.0014175176620483,0.009358346462249756
