layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,weight5,concept5,weight6,concept6,weight7,concept7,weight8,concept8,weight9,concept9,bias,sim correlation,sim ablation(optim),sim ablation(norm)
layer4,28,0.41874174,2.2766705,window screen,2.1379962,shoji screen / room divider,1.8547517,prison,1.4250809,guitar,0.9079354,wild dog,0.17430335,mammal,0,0,0,0,0,0,0,0,0.41354692,0.352656722,0.051980257,0.033968747
layer4,29,0.318211632,1.350321,Norwegian Elkhound,1.031155,snail,0.9733169,wolf,0.7765134,fox,0.3257955,musteline mammal,0,0,0,0,0,0,0,0,0,0,0.34172383,0.284517467,0.040478289,0.016498148
layer4,30,0.240343984,0.9128346,handkerchief,0.8060352,thatched roof,0.16196644,dog,0.15642273,covering,0,0,0,0,0,0,0,0,0,0,0,0,0.371524394,0.154097989,0.012910962,0.000952482
layer4,31,0.384731772,2.0784674,whistle,1.6419576,safe,1.5495218,joystick,1.4744157,mop,1.353963,pan flute,0.14345029,artifact,0,0,0,0,0,0,0,0,0.333301932,0.259523928,0.024377704,-0.004807353
layer4,32,0.306869778,1.6312822,megalith,1.3601702,thimble,0.88347375,frog,0.2945632,food,0.29168415,vessel,0,0,0,0,0,0,0,0,0,0,0.411521107,0.204831123,0.014569759,-0.001530409
layer4,33,0.372992327,2.5096498,brass memorial plaque,1.415686,armor plate,1.1604096,great ape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412259728,0.302581161,0.037634373,0.018570244
layer4,34,0.422451735,2.077539,procyonid,1.9584905,bridge,1.4913365,bear,1.3896959,primate,0.74447554,craft,0.68747336,fish,0,0,0,0,0,0,0,0,0.701904893,0.358702958,0.081722558,0.062289357
layer4,35,0.347894815,1.7396106,arabian camel,1.6092438,tench,0.9197535,percussion instrument,0.64036375,fish,0.34638888,aquatic bird,0,0,0,0,0,0,0,0,0,0,0.404624224,0.320135891,0.051680923,0.029048562
layer4,36,0.319035739,1.3712453,boathouse,1.2412251,microwave oven,0.30894887,vehicle,0.27336437,vessel,0,0,0,0,0,0,0,0,0,0,0,0,0.413716406,0.1821962,0.03093189,0.014938951
layer4,37,0.363969727,1.9480478,abaya,1.9139131,Weimaraner,0.9528191,bag,0.34693652,clothing,0,0,0,0,0,0,0,0,0,0,0,0,0.404904097,0.331608564,0.059972227,0.065984428
layer4,38,0.277727548,0.26150176,clothing,0.06550222,artifact,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28557682,0.159007147,0.002218664,0.014838874
layer4,39,0.605722345,2.797115,feline,1.1316744,sporting dog,0.33448586,carnivore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422415465,0.571513891,0.142793596,0.135875285
layer4,40,0.336977898,1.6127166,teapot,0.800116,mitten,0.55821526,motor vehicle,0.09885288,canine,0,0,0,0,0,0,0,0,0,0,0,0,0.357372612,0.249319926,0.024254739,0.022767782
layer4,41,0.273671678,2.6253593,cliff dwelling,1.995508,tile roof,1.3023797,baseball player,1.1252493,arabian camel,0,0,0,0,0,0,0,0,0,0,0,0,0.485925645,0.286729723,0.048476458,0.041837692
layer4,42,0.267846253,1.3814014,jigsaw puzzle,0.62313324,geological formation,0.24411538,bird,0.14811407,structure,0,0,0,0,0,0,0,0,0,0,0,0,0.419182032,0.229409873,0.014925182,0.029063821
layer4,43,0.376911948,1.6655338,megalith,1.4705373,thatched roof,0.6619183,primate,0.60985297,cutter,0.29049048,bird,0,0,0,0,0,0,0,0,0,0,0.329335988,0.322913229,0.058860838,0.031867623
layer4,44,0.358587644,0.9961166,footwear,0.8740781,armor plate,0.6643804,crocodilian reptile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330419093,0.337057799,0.040727735,0.05116713
layer4,45,0.480131056,3.4560263,quilt,3.1060405,couch,2.5452542,sleeping bag,2.4371526,baby bed,0.38067472,dog,0,0,0,0,0,0,0,0,0,0,0.460803628,0.512586534,0.126875341,0.131350696
layer4,46,0.314648403,1.7792734,broccoli,1.6404512,Curly-coated Retriever,1.466646,poodle,1.3384815,thatched roof,0.76981187,photocopier,0,0,0,0,0,0,0,0,0,0,0.436485499,0.363010436,0.054617345,0.049403787
layer4,47,0.337165477,0.3610531,artifact,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391061515,0.100032106,0.000269234,0.00460583
layer4,48,0.27620312,1.3311075,cabbage,0.9894067,baby bed,0.71124774,fence,0.45035177,arachnid,0,0,0,0,0,0,0,0,0,0,0,0,0.447963297,0.243358359,0.026871085,0.019739509
layer4,49,0.458621012,2.173177,slot machine,1.9762893,entertainment center,1.625208,photocopier,1.2228582,electronic equipment,0.78319514,primate,0.75310546,computer,0.6628465,lizard,0,0,0,0,0,0,0.434647143,0.381634593,0.068816304,0.055275142
layer4,50,0.383091096,0.5590009,diapsid,0.3189336,mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35055083,0.217646778,0.031765938,0.024799585
