layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,bias,sim correlation
layer4,194,0.399899512496976,3.220802,Border Terrier,2.217664,Beagle,2.1795053,corgi,1.5368004,Whippet,0.3475999236106872,0.4174962639808655
layer4,195,0.5057035372614969,4.5156503,fowl,2.8456,Basset Hound,1.9458146,Treeing Walker Coonhound,1.5184323,Beagle,0.3768200278282165,0.5326558947563171
layer4,196,0.4087614960631018,4.00699,Yorkshire Terrier,2.5244591,rotisserie,2.392415,Maltese,2.3854177,Gordon Setter,0.4473320841789245,0.3933258354663849
layer4,197,0.283812075476597,3.4761324,bike,2.850288,safety pin,1.9966768,French horn,1.4557831,unicycle,0.4315232336521148,0.2792259454727173
layer4,198,0.1412961885271232,2.8748302,volleyball,2.7928646,puzzle,2.075324,rapeseed,1.4589415,cauliflower,0.5161702036857605,0.21456821262836456
layer4,199,0.237683238532935,2.6440072,extreme,2.3035429,dumbbell,1.2509964,isopod,1.2317274,abacus,0.2669323086738586,0.2355353981256485
layer4,200,0.4488655270959096,7.7126184,hiking,5.874371,mountain,5.265701,glacier,5.0392017,skiing,0.4764401912689209,0.5079144239425659
layer4,201,0.358613333638711,3.4174426,uniform,3.208221,van,2.1363544,standing,1.3514726,bassoon,0.4821482002735138,0.31201985478401184
layer4,202,0.2913342409675996,3.8687353,crockery,2.6279821,angiosperm,2.166595,toilet,1.5206287,daisy,0.3871931731700897,0.24472874402999878
layer4,203,0.2727445567268484,1.8749623,hog,1.8019845,chameleon,1.1876216,axolotl,1.0886365,amphibian,0.4653421640396118,0.2548966705799103
layer4,204,0.3318069154105595,2.4915276,gondola,2.2282593,sled,1.9730734,pool table,1.7694557,dam,0.3335157036781311,0.36279386281967163
layer4,205,0.5451951641935935,5.073035,pan,4.856832,supper,3.821903,cook,3.0492675,soup,0.5184541344642639,0.5137829780578613
layer4,206,0.259085637486002,4.6364646,apron,2.4781554,dolman,1.2684133,typewriter keyboard,1.2417251,greyhound,0.2957504987716675,0.22887051105499268
