layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,bias,sim correlation
layer4,31,0.2988265703168449,3.051944,whistle,2.8649595,fastener,1.8924162,potter's wheel,1.7554462,Japanese Chin,1.7400961,pan flute,0.3901366591453552,0.237898588180542
layer4,32,0.2806151364625782,3.6727684,bottle,3.3818552,vase,2.6171424,cucumber,2.4817724,megalith,1.750151,bolete,0.3976439535617828,0.30804839730262756
layer4,33,0.2951850253800705,3.752277,statue,3.6841776,brass memorial plaque,2.8022037,pineapple,2.3401363,artichoke,1.9713987,hen of the woods mushroom,0.3840967416763305,0.39055702090263367
layer4,34,0.5246733966707912,10.240512,river,3.6560366,gondola,3.368943,zoo,2.9256542,aquatic mammal,2.1803484,primate,0.609310507774353,0.49657464027404785
layer4,35,0.3658487015680411,3.6248298,cymbal,2.2995594,barometer,1.8433391,soft-finned fish,1.7180376,gong,1.680984,tench,0.3896067440509796,0.3264941871166229
layer4,36,0.3565515745080733,3.451826,canal,2.8680453,dam,2.430987,tub,1.925561,submarine,1.748942,berth,0.392794519662857,0.3497146666049957
layer4,37,0.3787380082586144,4.5737233,messenger bag,4.0688157,abaya,3.371074,hood,3.0118103,Weimaraner,2.948725,academic gown,0.3778480291366577,0.37044477462768555
layer4,38,0.305388730602371,1.4325417,shoulder,1.3358283,raiment,1.2897817,Christmas stocking,1.2513304,worker,0.9834807,standing,0.287775307893753,0.2973176836967468
layer4,39,0.5483237414524347,4.1813593,Basset Hound,4.1211004,domestic cat,4.0712214,big cat,3.4781213,cat,3.248707,feline,0.4187871217727661,0.5778086185455322
layer4,40,0.3658267528870067,3.1318083,crockery,3.0146935,motorcar,2.258262,shoes,2.209101,teapot,1.778019,limo,0.3393166959285736,0.33841174840927124
layer4,41,0.3478326172075185,4.2859125,desertand,3.5410988,canyon,3.4134645,tile roof,2.5957332,clay,2.4462652,baseball,0.4286873340606689,0.30889788269996643
layer4,42,0.3518559082556792,4.337269,creek,3.54531,jigsaw puzzle,2.0800254,habitat,1.6109239,hen of the woods mushroom,0.6940359,bird,0.3692874312400818,0.3479873239994049
